,id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,sentiment_score
4511,35005349,2017-12-12,within an hour,100%,98%,f,Monkstown,38,80,"['email', 'phone', 'work_email']",t,t,"Rathfarnham, Co. Dublin, Ireland",Dn Laoghaire-Rathdown,53.28907,-6.27281,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""Patio or balcony"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Elevator"", ""Dedicated workspace"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Cable TV"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm""]",$188.00,14,999,4,14,1125,1125,13.7,1125.0,t,0,0,25,300,2022-09-11,16,4,0,2019-06-10,2022-04-10,4.69,4.63,4.81,4.75,4.75,4.94,4.63,t,38,38,0,0,0.38100656288156287
4523,35141834,2019-05-27,within a few hours,100%,86%,f,Georgian Quarter,1,1,"['email', 'phone']",t,t,"Dublin 2, County Dublin, Ireland",Dublin City,53.34055,-6.24578,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Elevator"", ""Baking sheet"", ""Hot water"", ""Shower gel"", ""Hair dryer"", ""Iron"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Paid parking off premises""]",$268.00,14,365,14,14,1125,1125,14.0,1125.0,t,16,46,76,330,2022-09-12,68,11,0,2019-06-04,2022-07-23,4.5,4.78,4.6,4.69,4.82,4.82,4.4,f,1,1,0,0,0.4487582202560273
4527,35160597,2017-05-22,within an hour,100%,92%,t,Mount Merrion,5,6,"['email', 'phone']",t,f,"Dublin, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.29475,-6.21508,Private room in home,Private room,3,1 private bath,1.0,3.0,"[""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Security cameras on property"", ""Carbon monoxide alarm"", ""Kitchen"", ""Microwave"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Clothing storage: dresser and closet"", ""Children\u2019s books and toys"", ""Lock on bedroom door"", ""Freezer"", ""Free street parking"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Lockbox"", ""Smoke alarm"", ""Extra pillows and blankets""]",$80.00,4,21,4,4,21,21,4.0,21.0,t,0,0,0,0,2022-09-12,31,22,5,2019-06-28,2022-09-08,4.87,4.9,4.81,4.97,4.94,4.84,4.77,f,4,0,4,0,0.46006929328684126
4542,35355059,2015-05-03,within a day,100%,83%,t,Donnybrook,2,2,"['email', 'phone', 'work_email']",t,t,"Dublin 4, County Dublin, Ireland",Dublin City,53.31429,-6.23207,Entire home,Entire home/apt,8,2.5 baths,4.0,6.0,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Patio or balcony"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Backyard"", ""Free parking on premises"", ""TV"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Bathtub"", ""Shampoo"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Room-darkening shades"", ""Stove"", ""Extra pillows and blankets""]",$429.00,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,38,2022-09-12,7,0,0,2019-07-01,2019-08-23,4.57,4.71,4.14,4.43,4.57,4.57,4.29,f,1,1,0,0,0.5796957671957672
4549,35448648,2019-06-04,within a day,50%,0%,f,Monkstown,1,3,"['email', 'phone']",t,f,"Dublin, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.29126,-6.14632,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Microwave"", ""Patio or balcony"", ""Heating"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Lock on bedroom door"", ""Single level home"", ""Freezer"", ""Free street parking"", ""Shampoo"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Body soap"", ""Conditioner"", ""Bed linens"", ""Wifi"", ""Smoke alarm""]",$100.00,2,1125,2,2,1125,1125,2.0,1125.0,t,0,12,42,43,2022-09-11,29,0,0,2019-06-16,2021-09-03,4.93,4.93,4.96,4.93,4.96,4.93,4.54,f,1,0,1,0,0.42860514906720265
4566,35563644,2019-03-06,within an hour,100%,97%,f,North City Central/O'Connell Street,23,30,"['email', 'phone']",t,t,"Dublin 1, County Dublin, Ireland",Dublin City,53.34724,-6.26809,Private room in rental unit,Private room,2,1 bath,1.0,1.0,"[""Fire extinguisher"", ""Hangers"", ""Security cameras on property"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Smart lock"", ""Heating"", ""First aid kit"", ""Dedicated workspace"", ""Hot water"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Shampoo"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Extra pillows and blankets""]",$204.00,1,1125,1,2,1125,1125,1.9,1125.0,t,4,19,49,232,2022-09-12,38,20,2,2019-07-07,2022-08-26,4.58,4.79,4.76,4.68,4.61,4.92,4.68,f,9,0,9,0,0.39652869399758806
4568,35576859,2018-01-30,within a few hours,100%,100%,f,Booterstown,1,1,"['email', 'phone']",t,t,"Booterstown, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.30963,-6.20849,Entire home,Entire home/apt,6,2.5 baths,4.0,4.0,"[""Essentials"", ""TV"", ""Fire extinguisher"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Dedicated workspace"", ""Breakfast"", ""Shampoo"", ""Free parking on premises""]",$180.00,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,2022-09-12,9,2,0,2019-07-26,2022-07-04,4.88,5.0,4.25,5.0,4.88,5.0,4.5,t,1,1,0,0,0.3414086257309942
4569,35577845,2019-06-03,within an hour,100%,100%,f,Ringsend/Irishtown,5,5,['phone'],t,t,"Dublin 4, County Dublin, Ireland",Dublin City,53.34321,-6.22856,Private room in rental unit,Private room,1,1 private bath,1.0,1.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Patio or balcony"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Elevator"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Beachfront"", ""Essentials"", ""Refrigerator"", ""Wifi"", ""Smoke alarm"", ""Stove""]",$100.00,4,1125,4,4,1125,1125,4.0,1125.0,t,0,0,8,215,2022-09-11,53,10,0,2019-06-24,2022-06-17,4.65,4.71,4.67,4.71,4.63,4.83,4.75,t,5,2,3,0,0.41476697305906496
4575,35673359,2019-03-06,within an hour,100%,97%,f,North City Central/O'Connell Street,23,30,"['email', 'phone']",t,t,"Dublin 1, County Dublin, Ireland",Dublin City,53.34702,-6.26692,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,"[""Fire extinguisher"", ""Hangers"", ""Security cameras on property"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Smart lock"", ""Heating"", ""First aid kit"", ""Dedicated workspace"", ""Hot water"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Shampoo"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Extra pillows and blankets""]",$267.00,2,1125,1,3,1125,1125,2.7,1125.0,t,3,17,47,80,2022-09-12,52,27,1,2019-07-05,2022-08-26,4.31,4.5,4.33,4.42,4.31,4.71,4.33,f,9,0,9,0,0.4056371194326167
4576,35673532,2019-03-06,within an hour,100%,97%,f,North City Central/O'Connell Street,23,30,"['email', 'phone']",t,t,"Dublin 1, County Dublin, Ireland",Dublin City,53.34687,-6.2685,Private room in rental unit,Private room,2,1 bath,1.0,1.0,"[""Fire extinguisher"", ""Hangers"", ""Security cameras on property"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Smart lock"", ""Heating"", ""First aid kit"", ""Dedicated workspace"", ""Hot water"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Shampoo"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Extra pillows and blankets""]",$284.00,1,1125,1,2,1125,1125,1.9,1125.0,t,4,11,41,70,2022-09-12,83,41,3,2019-07-08,2022-08-28,4.52,4.75,4.59,4.48,4.28,4.92,4.59,f,9,0,9,0,0.3680305011429564
4577,35673628,2019-03-06,within an hour,100%,97%,f,North City Central/O'Connell Street,23,30,"['email', 'phone']",t,t,"Dublin 1, County Dublin, Ireland",Dublin City,53.34736,-6.26854,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,"[""Essentials"", ""TV"", ""Fire extinguisher"", ""Refrigerator"", ""Private entrance"", ""Bed linens"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Long term stays allowed"", ""Heating"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Dedicated workspace"", ""Air conditioning"", ""Shampoo"", ""Extra pillows and blankets"", ""Smart lock"", ""Hot water""]",$275.00,1,1125,1,2,1125,1125,1.9,1125.0,t,8,25,55,323,2022-09-12,35,14,2,2019-07-04,2022-09-08,4.2,4.57,4.49,4.2,4.31,4.8,4.29,t,9,0,9,0,0.45236572785679924
4578,35673876,2019-03-06,within an hour,100%,97%,f,North City Central/O'Connell Street,23,30,"['email', 'phone']",t,t,"Dublin 1, County Dublin, Ireland",Dublin City,53.34659,-6.26658,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,"[""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Smart lock"", ""Heating"", ""First aid kit"", ""Dedicated workspace"", ""Hot water"", ""TV"", ""Hair dryer"", ""Iron"", ""Air conditioning"", ""Shampoo"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Extra pillows and blankets""]",$275.00,1,1125,1,2,1125,1125,2.0,1125.0,t,7,33,63,338,2022-09-12,51,25,2,2019-07-11,2022-08-16,4.29,4.47,4.65,4.49,4.49,4.82,4.16,t,9,0,9,0,0.40221660136935766
4582,35712527,2013-05-30,within an hour,100%,100%,f,Clontarf,2,5,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.39001,-6.23164,Entire townhouse,Entire home/apt,6,2.5 baths,4.0,4.0,"[""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Breakfast"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""TV"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Shampoo"", ""Essentials"", ""Private entrance"", ""Lockbox"", ""Wifi"", ""Smoke alarm""]",$120.00,21,60,2,21,60,60,20.9,60.0,t,0,0,0,35,2022-09-12,1,0,0,2019-08-17,2019-08-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,2,2,0,0,0.25927272727272727
4583,35713748,2015-02-19,within an hour,100%,100%,f,Stoneybatter/Arbour Hill,3,3,"['email', 'phone', 'work_email']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.35293,-6.28446,Entire townhouse,Entire home/apt,4,2 baths,2.0,2.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Backyard"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Paid parking off premises"", ""Extra pillows and blankets""]",$100.00,3,1125,3,3,1125,1125,3.0,1125.0,t,0,0,0,0,2022-09-12,7,0,0,2019-07-28,2019-09-09,4.86,4.71,4.71,5.0,4.86,5.0,4.71,t,1,1,0,0,0.19808820346320347
4587,35726540,2019-06-03,within an hour,100%,100%,f,Ringsend/Irishtown,5,5,['phone'],t,t,"Dublin 4, County Dublin, Ireland",Dublin City,53.34518,-6.22741,Private room in rental unit,Private room,1,1 private bath,1.0,1.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Patio or balcony"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Elevator"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Wifi"", ""Smoke alarm"", ""Stove""]",$100.00,4,1125,4,4,1125,1125,4.0,1125.0,t,0,0,8,216,2022-09-12,38,7,0,2019-08-25,2022-06-17,4.66,4.76,4.66,4.45,4.79,4.82,4.76,t,5,2,3,0,0.4144164806462601
4588,35731940,2012-02-27,within an hour,100%,80%,f,Terenure,1,12,"['email', 'phone', 'work_email']",t,t,"Kimmage, County Dublin, Ireland",Dublin City,53.3123,-6.29642,Entire home,Entire home/apt,4,1 bath,2.0,2.0,"[""Oven"", ""Hot water kettle"", ""Dryer"", ""Outdoor furniture"", ""Dining table"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Private fenced garden or backyard"", ""TV with standard cable"", ""Bluetooth sound system"", ""Clothing storage: closet"", ""Fireplace guards"", ""Washer"", ""Heating"", ""Dishes and silverware"", ""Barbecue utensils"", ""Baby monitor"", ""Cleaning products"", ""Baking sheet"", ""Hot water"", ""Shower gel"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Babysitter recommendations"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Free street parking"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Record player"", ""Essentials"", ""Coffee maker"", ""Refrigerator"", ""Body soap"", ""BBQ grill"", ""Bed linens"", ""Lockbox"", ""Children\u2019s dinnerware"", ""Wifi"", ""Smoke alarm"", ""Room-darkening shades"", ""Stove"", ""Wine glasses"", ""Baby bath"", ""Extra pillows and blankets""]",$150.00,7,1125,7,7,1125,1125,7.0,1125.0,t,0,0,0,72,2022-09-11,8,3,1,2019-08-14,2022-08-15,5.0,5.0,4.75,4.88,5.0,4.88,4.38,f,1,1,0,0,0.40259070294784577
4591,35762958,2017-04-16,within an hour,100%,100%,f,Knocklyon,1,1,['phone'],t,f,"Dublin, County Dublin, Ireland",South Dublin,53.28273,-6.30813,Private room in home,Private room,2,1.5 shared baths,1.0,1.0,"[""Essentials"", ""TV"", ""Hangers"", ""Indoor fireplace"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Kitchen"", ""Dishes and silverware"", ""Cooking basics"", ""Shampoo"", ""Hot water"", ""Free parking on premises""]",$85.00,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,2022-09-12,14,7,0,2019-07-07,2022-08-08,4.93,4.86,4.86,4.93,4.93,4.29,4.86,t,1,0,1,0,0.4853868746993747
4602,35856841,2019-06-16,within a few hours,73%,100%,f,Rathgar,5,14,"['email', 'phone']",t,t,"Dublin 6, County Dublin, Ireland",Dublin City,53.31737,-6.27334,Private room in home,Private room,1,1 shared bath,1.0,1.0,"[""Essentials"", ""TV"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Hair dryer"", ""Lock on bedroom door"", ""Iron"", ""Wifi"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Kitchen"", ""Long term stays allowed"", ""Shampoo"", ""Smart lock"", ""Luggage dropoff allowed""]",$120.00,27,1125,27,27,1125,1125,27.0,1125.0,t,0,0,0,130,2022-09-12,21,0,0,2019-07-07,2019-09-15,4.9,4.95,4.9,4.95,4.71,4.95,4.81,f,5,0,5,0,0.48819991605616614
4608,35868984,2019-06-11,within a few hours,100%,88%,f,Booterstown,3,4,"['email', 'phone']",t,t,"Booterstown, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.30752,-6.21066,Private room in home,Private room,1,1 private bath,1.0,1.0,"[""Essentials"", ""TV"", ""Fire extinguisher"", ""Hangers"", ""Indoor fireplace"", ""Lock on bedroom door"", ""Wifi"", ""Long term stays allowed"", ""Heating"", ""Smoke alarm"", ""Dishes and silverware"", ""First aid kit"", ""Free parking on premises""]",$75.00,2,1125,2,2,1125,1125,2.0,1125.0,t,8,18,48,285,2022-09-12,37,26,5,2019-08-24,2022-09-04,4.7,4.86,4.92,4.95,4.89,4.76,4.68,f,3,0,3,0,0.3989178760393046
4623,35986074,2015-03-18,within an hour,100%,97%,t,Sandymount,1,1,"['email', 'phone']",t,t,"Sandymount, Dublin 4, Ireland",Dublin City,53.33149,-6.21296,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,"[""Essentials"", ""Private entrance"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Heating"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Dishes and silverware"", ""Free street parking"", ""Microwave"", ""Shampoo"", ""Hot water""]",$81.00,2,10,2,2,10,10,2.0,10.0,t,7,10,10,10,2022-09-12,180,83,6,2019-07-12,2022-09-02,4.97,4.99,4.94,4.97,4.97,4.95,4.94,f,1,1,0,0,0.43948721146145964
4624,35986747,2019-06-16,within a few hours,73%,100%,f,Rathgar,5,14,"['email', 'phone']",t,t,"Dublin 6, County Dublin, Ireland",Dublin City,53.31501,-6.27197,Private room in home,Private room,1,1 shared bath,1.0,1.0,"[""Essentials"", ""TV"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Hair dryer"", ""Lock on bedroom door"", ""Iron"", ""Wifi"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Kitchen"", ""Long term stays allowed"", ""Shampoo"", ""Smart lock"", ""Luggage dropoff allowed""]",$98.00,30,1125,30,30,1125,1125,30.0,1125.0,t,4,34,64,154,2022-09-12,6,0,0,2019-07-02,2019-07-28,4.8,5.0,5.0,4.8,4.4,4.6,5.0,t,5,0,5,0,0.3785446127946129
4625,35987461,2019-06-16,within a few hours,73%,100%,f,Rathgar,5,14,"['email', 'phone']",t,t,"Dublin 6, County Dublin, Ireland",Dublin City,53.31516,-6.27404,Private room in home,Private room,3,1 bath,1.0,2.0,"[""Fire extinguisher"", ""Dryer"", ""Outdoor furniture"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Smart lock"", ""Heating"", ""Washer"", ""First aid kit"", ""Backyard"", ""TV"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Shampoo"", ""Luggage dropoff allowed"", ""Essentials"", ""Wifi"", ""Smoke alarm""]",$90.00,30,1125,30,30,1125,1125,30.0,1125.0,t,0,0,0,268,2022-09-12,20,0,0,2019-07-14,2020-01-18,4.5,4.5,4.5,4.72,4.61,4.61,4.44,t,5,0,5,0,0.3625554132584207
4626,35988107,2019-06-16,within a few hours,73%,100%,f,Rathgar,5,14,"['email', 'phone']",t,t,"Dublin 6, County Dublin, Ireland",Dublin City,53.3156,-6.27216,Private room in home,Private room,1,1 shared bath,1.0,2.0,"[""Essentials"", ""TV"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Hair dryer"", ""Lock on bedroom door"", ""Iron"", ""Wifi"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Kitchen"", ""Long term stays allowed"", ""Shampoo"", ""Smart lock"", ""Luggage dropoff allowed""]",$72.00,60,300,60,60,1125,1125,60.0,1125.0,t,0,0,0,268,2022-09-12,29,0,0,2019-07-07,2020-03-08,4.82,4.86,4.93,4.71,4.79,4.79,4.86,t,5,0,5,0,0.4785101542901543
4637,36033653,2019-06-24,within a day,75%,0%,f,The Liberties,4,4,"['email', 'phone']",t,t,"Dublin 8, County Dublin, Ireland",Dublin City,53.34095,-6.27944,Private room in home,Private room,1,1.5 baths,1.0,1.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Microwave"", ""Clothing storage"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Hot water"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Smoke alarm"", ""Wine glasses"", ""Paid parking on premises""]",$53.00,20,90,20,20,90,90,20.0,90.0,t,0,0,0,0,2022-09-12,6,0,0,2019-08-09,2019-09-01,4.17,4.33,3.67,4.5,3.67,4.83,4.0,f,4,1,3,0,0.43091269841269836
4638,36034711,2019-06-24,within a day,75%,0%,f,The Liberties,4,4,"['email', 'phone']",t,t,"Dublin 8, County Dublin, Ireland",Dublin City,53.34087,-6.28084,Private room in home,Private room,1,1 shared bath,1.0,1.0,"[""Essentials"", ""Fire extinguisher"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Breakfast"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed""]",$28.00,21,90,21,21,90,90,21.0,90.0,t,0,0,0,0,2022-09-12,5,0,0,2019-08-12,2021-01-18,4.6,5.0,3.6,4.6,4.4,5.0,4.4,f,4,1,3,0,0.5694444444444445
4641,36058680,2017-06-18,within an hour,100%,100%,f,North City Central/O'Connell Street,1,1,"['email', 'phone']",t,f,"Dublin 1, County Dublin, Ireland",Dublin City,53.3503,-6.26603,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,"[""Essentials"", ""Private entrance"", ""Fire extinguisher"", ""Body soap"", ""Clothing storage: closet"", ""Hangers"", ""Security cameras on property"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Smoke alarm"", ""First aid kit"", ""Elevator"", ""Shampoo"", ""Hot water"", ""Shower gel""]",$70.00,2,30,2,2,30,30,2.0,30.0,t,0,0,0,0,2022-09-12,43,14,1,2019-07-07,2022-08-22,4.69,4.88,4.86,4.79,4.93,4.93,4.6,t,1,0,1,0,0.3946792096792097
4645,36126707,2014-04-25,within an hour,100%,100%,f,Old City,3,3,"['email', 'phone']",t,t,"Dublin , Co. Dublin, Ireland",Dublin City,53.34407,-6.2771,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dryer"", ""Dining table"", ""Hangers"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Microwave"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Elevator"", ""Dedicated workspace"", ""Fast wifi \u2013 265 Mbps"", ""Hot water"", ""Hair dryer"", ""Dishwasher"", ""Freezer"", ""Shampoo"", ""Essentials"", ""Refrigerator"", ""Conditioner"", ""Bed linens"", ""Toaster"", ""Private patio or balcony"", ""Smoke alarm"", ""Room-darkening shades"", ""Stove""]",$304.00,4,6,4,4,6,6,4.0,6.0,t,0,0,0,0,2022-09-12,17,2,1,2019-07-25,2022-08-18,4.53,4.82,4.41,4.53,4.88,4.94,4.53,f,2,1,1,0,0.34777014652014654
4657,36255222,2015-09-02,within an hour,100%,96%,t,Portobello,1,1,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.27316,-6.13569,Private room in condo,Private room,2,1 private bath,1.0,1.0,"[""Hot water kettle"", ""Outdoor furniture"", ""Dining table"", ""Hangers"", ""Security cameras on property"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Kitchen"", ""Game console: PS4"", ""Cooking basics"", ""Zannusi refrigerator"", ""Microwave"", ""65\"" HDTV with Amazon Prime Video, Chromecast, Netflix"", ""Central heating"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Cleaning products"", ""Bosch stainless steel oven"", ""Hot water"", ""Baking sheet"", ""Shower gel"", ""Free parking on premises"", ""Pantene conditioner"", ""Pantene shampoo"", ""Fast wifi \u2013 79 Mbps"", ""Lock on bedroom door"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Bathtub"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Bidet"", ""EV charger"", ""Bed linens"", ""Toaster"", ""Lockbox"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Room-darkening shades"", ""Wine glasses"", ""Extra pillows and blankets"", ""Neff induction stove"", ""Sanex body soap""]",$55.00,1,7,1,1,7,7,1.0,7.0,t,0,0,0,0,2022-09-12,25,25,7,2022-06-06,2022-09-07,5.0,5.0,5.0,5.0,5.0,4.84,5.0,f,1,0,1,0,0.4233456422253023
